entry_date,exit_date,direction,entry_price,exit_price,stop_loss,take_profit,size,profit,profit_pct,equity,exit_reason
1971-01-25,1971-01-26,sell,0.476912,0.4773857857142857,0.4773857857142857,0.47628028571428577,211065.88270768436,-100.0,-1.0,9900.0,stop_loss
1971-01-26,1971-01-27,sell,0.476106,0.47661428571428566,0.47661428571428566,0.4754282857142857,194772.34401350256,-98.99999999999999,-0.9999999999999999,9801.0,stop_loss
1971-01-27,1971-01-28,sell,0.475893,0.4764063214285714,0.4764063214285714,0.4752085714285715,190932.99937383225,-98.01,-1.0,9702.99,stop_loss
1971-01-28,1971-01-29,sell,0.47585,0.4763536785714286,0.4763536785714286,0.4751784285714286,192642.50159540251,-97.0299,-1.0,9605.9601,stop_loss
1971-01-29,1971-02-01,sell,0.475592,0.4761145357142857,0.4761145357142857,0.47489528571428574,183833.56079558423,-96.059601,-1.0,9509.900499,stop_loss
1971-02-01,1971-02-02,sell,0.475507,0.4760067142857143,0.4760067142857143,0.47484071428571434,190306.7566981192,-95.09900499,-1.0,9414.80149401,stop_loss
1971-02-02,1971-02-03,sell,0.475117,0.4756497142857143,0.4756497142857143,0.4744067142857143,176732.66414071142,-94.1480149401,-1.0,9320.6534790699,stop_loss
1971-02-03,1971-02-04,sell,0.475202,0.47570739285714286,0.47570739285714286,0.4745281428571429,184423.92581016244,-93.20653479069901,-1.0,9227.446944279201,stop_loss
1971-02-04,1971-02-05,sell,0.475294,0.47572299999999995,0.47572299999999995,0.47472200000000003,215092.003363173,-92.27446944279201,-1.0,9135.172474836409,stop_loss
1971-02-09,1971-02-10,sell,0.475337,0.47578164285714286,0.47578164285714286,0.4747441428571429,205449.66208467673,-91.35172474836409,-1.0,9043.820750088045,stop_loss
1971-02-10,1971-02-11,buy,0.480063,0.4795929642857143,0.4795929642857143,0.4806897142857143,192407.0974868638,-90.43820750088045,-1.0,8953.382542587166,stop_loss
1971-02-11,1971-02-16,buy,0.479715,0.4792160357142857,0.4792160357142857,0.4803802857142857,179439.34664121782,-89.53382542587165,-1.0,8863.848717161294,stop_loss
1971-02-17,1971-02-18,sell,0.475214,0.475667,0.475667,0.47461000000000003,195669.9496062177,-88.63848717161294,-1.0,8775.210229989681,stop_loss
1971-02-18,1971-02-19,sell,0.475214,0.4756441785714286,0.4756441785714286,0.4746404285714286,203989.94307987497,-87.75210229989682,-1.0,8687.458127689784,stop_loss
1971-02-19,1971-02-22,sell,0.475167,0.47559760714285715,0.47559760714285715,0.47459285714285715,201749.0483331793,-86.87458127689784,-1.0,8600.583546412887,stop_loss
1971-02-22,1971-02-23,sell,0.47521,0.4756175714285715,0.4756175714285715,0.47466657142857144,211020.27628772103,-86.00583546412886,-1.0,8514.577710948757,stop_loss
