bar,equity
0,10000.0
1,10000.0
2,10000.0
3,10000.0
4,10000.0
5,10000.0
6,10000.0
7,10000.0
8,10000.0
9,10000.0
10,10000.0
11,10000.0
12,10000.0
13,10000.0
14,10000.0
15,10000.0
16,10000.0
17,10000.0
18,10000.0
19,10000.0
20,10000.0
21,10000.0
22,10000.0
23,10000.0
24,10000.0
25,10000.0
26,10000.0
27,10000.0
28,10000.0
29,10000.0
30,9900.0
31,9900.0
32,9900.0
33,9900.0
34,9900.0
35,9900.0
36,9900.0
37,9801.0
38,9801.0
39,9801.0
40,9931.68
41,9931.68
42,9931.68
43,9931.68
44,9931.68
45,10064.1024
46,9963.461376
47,9963.461376
48,9863.82676224
49,9863.82676224
50,9863.82676224
51,9863.82676224
52,9863.82676224
53,9863.82676224
54,9863.82676224
55,9863.82676224
56,9863.82676224
57,9863.82676224
58,9863.82676224
59,9863.82676224
60,9863.82676224
61,9863.82676224
62,9863.82676224
63,9863.82676224
64,9765.1884946176
65,9895.391007879167
66,9796.437097800375
67,9796.437097800375
68,9796.437097800375
69,9796.437097800375
70,9698.472726822372
71,9698.472726822372
72,9698.472726822372
73,9698.472726822372
74,9698.472726822372
75,9698.472726822372
76,9698.472726822372
77,9698.472726822372
78,9698.472726822372
79,9698.472726822372
80,9698.472726822372
81,9698.472726822372
82,9698.472726822372
83,9698.472726822372
84,9698.472726822372
85,9698.472726822372
86,9601.487999554149
87,9601.487999554149
88,9601.487999554149
89,9601.487999554149
90,9601.487999554149
91,9601.487999554149
92,9601.487999554149
93,9505.473119558606
94,9505.473119558606
95,9505.473119558606
96,9505.473119558606
97,9505.473119558606
98,9505.473119558606
99,9505.473119558606
100,9505.473119558606
101,9505.473119558606
102,9505.473119558606
103,9505.473119558606
104,9505.473119558606
105,9505.473119558606
106,9505.473119558606
107,9505.473119558606
108,9505.473119558606
109,9410.418388363021
110,9410.418388363021
111,9410.418388363021
112,9410.418388363021
113,9410.418388363021
114,9410.418388363021
115,9410.418388363021
116,9410.418388363021
117,9410.418388363021
118,9410.418388363021
119,9535.890633541194
120,9535.890633541194
121,9535.890633541194
122,9535.890633541194
123,9440.531727205782
124,9346.126409933724
125,9346.126409933724
126,9346.126409933724
127,9346.126409933724
128,9346.126409933724
129,9252.665145834388
130,9252.665145834388
131,9252.665145834388
132,9252.665145834388
133,9252.665145834388
134,9252.665145834388
135,9252.665145834388
136,9252.665145834388
137,9252.665145834388
138,9252.665145834388
139,9252.665145834388
140,9252.665145834388
141,9252.665145834388
142,9252.665145834388
143,9252.665145834388
144,9160.138494376044
145,9160.138494376044
146,9160.138494376044
147,9160.138494376044
148,9160.138494376044
149,9160.138494376044
150,9160.138494376044
151,9160.138494376044
152,9160.138494376044
153,9160.138494376044
154,9160.138494376044
155,9160.138494376044
156,9160.138494376044
157,9068.537109432284
158,9068.537109432284
159,9068.537109432284
160,8977.85173833796
161,8888.07322095458
162,8888.07322095458
163,8888.07322095458
164,8888.07322095458
165,8888.07322095458
166,8799.192488745035
167,8711.200563857585
168,8827.349904709019
169,8827.349904709019
170,8827.349904709019
171,8827.349904709019
172,8827.349904709019
173,8827.349904709019
174,8827.349904709019
175,8827.349904709019
176,8827.349904709019
177,8827.349904709019
178,8945.047903438472
179,8945.047903438472
180,8945.047903438472
181,8945.047903438472
182,8945.047903438472
183,8945.047903438472
184,8945.047903438472
185,9064.315208817652
186,9064.315208817652
187,9064.315208817652
188,9064.315208817652
189,9064.315208817652
190,8973.672056729476
191,8973.672056729476
192,8973.672056729476
193,8973.672056729476
194,8973.672056729476
195,8973.672056729476
196,8973.672056729476
197,8973.672056729476
198,8973.672056729476
199,8973.672056729476
200,8973.672056729476
201,8973.672056729476
202,8973.672056729476
203,8973.672056729476
204,8973.672056729476
205,8973.672056729476
206,9093.321017485869
207,9093.321017485869
208,9093.321017485869
209,9002.38780731101
210,9002.38780731101
211,9002.38780731101
212,8912.3639292379
213,8912.3639292379
214,8912.3639292379
215,8912.3639292379
216,8912.3639292379
217,8912.3639292379
218,8912.3639292379
219,8912.3639292379
220,8912.3639292379
221,8912.3639292379
222,8912.3639292379
223,8912.3639292379
224,8912.3639292379
225,8912.3639292379
226,8912.3639292379
227,8912.3639292379
228,8912.3639292379
229,8912.3639292379
230,8912.3639292379
231,8912.3639292379
