bar,equity
0,10000.0
1,10000.0
2,10000.0
3,10000.0
4,10000.0
5,10000.0
6,10000.0
7,10000.0
8,10000.0
9,10000.0
10,10000.0
11,10000.0
12,10000.0
13,10000.0
14,10000.0
15,10000.0
16,10000.0
17,10000.0
18,10000.0
19,10000.0
20,10000.0
21,10000.0
22,10000.0
23,10000.0
24,10000.0
25,10000.0
26,10000.0
27,10000.0
28,10000.0
29,10000.0
30,10000.0
31,10000.0
32,10000.0
33,10000.0
34,10000.0
35,10000.0
36,10000.0
37,10000.0
38,10000.0
39,10000.0
40,10000.0
41,10106.666666666668
42,10106.666666666668
43,10214.471111111112
44,10214.471111111112
45,10214.471111111112
46,10214.471111111112
47,10214.471111111112
48,10214.471111111112
49,10214.471111111112
50,10214.471111111112
51,10214.471111111112
52,10214.471111111112
53,10214.471111111112
54,10214.471111111112
55,10214.471111111112
56,10323.42546962963
57,10323.42546962963
58,10323.42546962963
59,10323.42546962963
60,10323.42546962963
61,10323.42546962963
62,10433.542007972346
63,10433.542007972346
64,10433.542007972346
65,10433.542007972346
66,10433.542007972346
67,10433.542007972346
68,10433.542007972346
69,10433.542007972346
70,10544.833122724052
71,10544.833122724052
72,10544.833122724052
73,10544.833122724052
74,10544.833122724052
75,10657.311342699777
76,10657.311342699777
77,10657.311342699777
78,10657.311342699777
79,10657.311342699777
80,10657.311342699777
81,10657.311342699777
82,10657.311342699777
83,10657.311342699777
84,10657.311342699777
85,10657.311342699777
86,10550.73822927278
87,10550.73822927278
88,10550.73822927278
89,10550.73822927278
90,10550.73822927278
91,10550.73822927278
92,10550.73822927278
93,10550.73822927278
94,10550.73822927278
95,10550.73822927278
96,10550.73822927278
97,10550.73822927278
98,10550.73822927278
99,10550.73822927278
100,10550.73822927278
101,10663.27943705169
102,10663.27943705169
103,10663.27943705169
104,10663.27943705169
105,10663.27943705169
106,10663.27943705169
107,10663.27943705169
108,10663.27943705169
109,10663.27943705169
110,10663.27943705169
111,10663.27943705169
112,10663.27943705169
113,10663.27943705169
114,10663.27943705169
115,10663.27943705169
116,10663.27943705169
117,10663.27943705169
118,10663.27943705169
119,10663.27943705169
120,10663.27943705169
121,10663.27943705169
122,10663.27943705169
123,10663.27943705169
124,10556.646642681173
125,10451.080176254362
126,10451.080176254362
127,10451.080176254362
128,10451.080176254362
129,10346.569374491817
130,10346.569374491817
131,10346.569374491817
132,10346.569374491817
133,10346.569374491817
134,10346.569374491817
135,10243.103680746899
136,10140.67264393943
137,10140.67264393943
138,10140.67264393943
139,10140.67264393943
140,10140.67264393943
141,10140.67264393943
142,10140.67264393943
143,10140.67264393943
144,10140.67264393943
145,10140.67264393943
146,10248.83981880812
147,10248.83981880812
148,10248.83981880812
149,10248.83981880812
150,10248.83981880812
151,10248.83981880812
152,10248.83981880812
153,10248.83981880812
154,10248.83981880812
155,10248.83981880812
156,10248.83981880812
157,10248.83981880812
158,10248.83981880812
159,10248.83981880812
160,10146.351420620038
161,10044.887906413838
162,10044.887906413838
163,10044.887906413838
164,10044.887906413838
165,10044.887906413838
166,10044.887906413838
167,10044.887906413838
168,10044.887906413838
169,10044.887906413838
170,10044.887906413838
171,10152.033377415586
172,10260.321733441353
173,10260.321733441353
174,10260.321733441353
175,10260.321733441353
176,10260.321733441353
177,10260.321733441353
178,10260.321733441353
179,10260.321733441353
180,10260.321733441353
181,10260.321733441353
182,10260.321733441353
183,10260.321733441353
184,10260.321733441353
185,10260.321733441353
186,10260.321733441353
187,10260.321733441353
188,10260.321733441353
189,10260.321733441353
190,10260.321733441353
191,10260.321733441353
192,10260.321733441353
193,10157.71851610694
194,10157.71851610694
195,10157.71851610694
196,10157.71851610694
197,10157.71851610694
198,10157.71851610694
199,10157.71851610694
200,10157.71851610694
201,10157.71851610694
202,10157.71851610694
203,10157.71851610694
204,10157.71851610694
205,10157.71851610694
206,10157.71851610694
207,10157.71851610694
208,10157.71851610694
209,10157.71851610694
210,10056.14133094587
211,10056.14133094587
212,10056.14133094587
213,10056.14133094587
214,10056.14133094587
215,10056.14133094587
216,9955.57991763641
217,9955.57991763641
218,9955.57991763641
219,9955.57991763641
220,9955.57991763641
221,9955.57991763641
222,9955.57991763641
223,9955.57991763641
224,9955.57991763641
225,10061.7727700912
226,10061.7727700912
227,10061.7727700912
