bar,equity
0,10000.0
1,10000.0
2,10000.0
3,10000.0
4,10000.0
5,10000.0
6,10000.0
7,10000.0
8,10000.0
9,10000.0
10,10000.0
11,10000.0
12,10000.0
13,10000.0
14,10000.0
15,10000.0
16,10000.0
17,9900.0
18,9801.0
19,9702.99
20,9605.9601
21,9509.900499
22,9414.80149401
23,9320.6534790699
24,9227.446944279201
25,9135.172474836409
26,9135.172474836409
27,9135.172474836409
28,9043.820750088045
29,8953.382542587166
30,8953.382542587166
31,8863.848717161294
32,8775.210229989681
33,8687.458127689784
34,8600.583546412887
35,8514.577710948757
36,8514.577710948757
37,8514.577710948757
38,8514.577710948757
39,8514.577710948757
40,8429.431933839269
41,8429.431933839269
42,8345.137614500876
43,8261.686238355867
44,8179.069375972309
45,8097.278682212586
46,8016.30589539046
47,8016.30589539046
48,7936.142836436556
49,7856.78140807219
50,7778.213593991468
51,7700.431458051553
52,7623.427143471037
53,7547.192872036327
54,7471.720943315963
55,7397.003733882803
56,7397.003733882803
57,7397.003733882803
58,7397.003733882803
59,7397.003733882803
60,7397.003733882803
61,7397.003733882803
62,7323.033696543976
63,7249.8033595785355
64,7177.30532598275
65,7105.532272722923
66,7034.476949995694
67,6964.132180495737
68,6894.4908586907795
69,6825.545950103871
70,6825.545950103871
71,6757.2904906028325
72,6689.717585696804
73,6622.820409839836
74,6556.592205741438
75,6491.026283684024
76,6426.116020847184
77,6361.854860638712
78,6361.854860638712
79,6361.854860638712
80,6361.854860638712
81,6361.854860638712
82,6298.236312032325
83,6235.253948912002
84,6172.901409422881
85,6111.172395328653
86,6192.654693933035
87,6275.223423185475
88,6212.471188953621
89,6295.304138139671
90,6232.351096758274
91,6170.027585790692
92,6170.027585790692
93,6170.027585790692
94,6108.327309932785
95,6047.244036833457
96,6047.244036833457
97,6047.244036833457
98,6047.244036833457
99,6047.244036833457
100,5986.7715964651225
101,5926.903880500471
102,5867.634841695466
103,5808.958493278511
104,5808.958493278511
105,5750.868908345726
106,5693.360219262268
107,5693.360219262268
108,5636.4266170696455
109,5580.062350898949
110,5524.26172738996
111,5469.01911011606
112,5414.328919014899
113,5360.18562982475
114,5306.583773526503
115,5253.517935791238
116,5200.982756433326
117,5148.972928868993
118,5097.483199580303
119,5046.5083675845
120,4996.043283908655
121,4946.082851069568
122,4896.622022558872
123,4847.655802333284
124,4847.655802333284
125,4847.655802333284
126,4847.655802333284
127,4799.179244309951
128,4751.187451866852
129,4703.675577348184
130,4703.675577348184
131,4703.675577348184
132,4656.638821574702
133,4656.638821574702
134,4656.638821574702
135,4610.072433358955
136,4563.971709025365
137,4518.331991935112
138,4473.14867201576
139,4428.417185295602
140,4384.133013442646
141,4340.29168330822
142,4296.888766475137
143,4253.919878810386
144,4211.380680022282
145,4169.266873222059
146,4169.266873222059
147,4127.574204489839
148,4086.2984624449405
149,4045.435477820491
150,4004.981123042286
151,3964.931311811863
152,3964.931311811863
153,4017.7970626360197
154,3977.6190920096597
155,3977.6190920096597
156,3937.842901089563
157,3898.4644720786673
158,3859.479827357881
159,3859.479827357881
160,3820.885029084302
161,3820.885029084302
162,3820.885029084302
163,3820.885029084302
164,3820.885029084302
165,3820.885029084302
166,3871.830162805427
167,3833.1118611773727
168,3794.7807425655988
169,3756.832935139943
170,3756.832935139943
171,3756.832935139943
172,3756.832935139943
173,3756.832935139943
174,3756.832935139943
175,3719.2646057885436
176,3719.2646057885436
177,3682.0719597306584
178,3645.251240133352
179,3608.7987277320185
180,3572.710740454698
181,3572.710740454698
182,3536.983633050151
183,3501.6137967196496
184,3501.6137967196496
185,3466.5976587524533
186,3431.9316821649286
187,3397.612365343279
188,3363.6362416898464
189,3329.999879272948
190,3329.999879272948
191,3329.999879272948
192,3329.999879272948
193,3296.6998804802183
194,3263.732881675416
195,3263.732881675416
196,3263.732881675416
197,3231.095552858662
198,3198.7845973300755
199,3166.7967513567746
200,3135.1287838432067
201,3103.7774960047745
202,3103.7774960047745
203,3103.7774960047745
204,3103.7774960047745
205,3103.7774960047745
206,3072.7397210447266
207,3042.0123238342794
208,3011.5922005959364
209,2981.476278589977
210,2951.661515804077
211,2951.661515804077
212,2922.1449006460366
213,2892.9234516395763
214,2863.9942171231805
215,2835.354274951949
216,2807.0007322024294
217,2778.9307248804053
218,2751.141417631601
