entry_date,exit_date,direction,entry_price,exit_price,stop_loss,take_profit,size,profit,profit_pct,equity,exit_reason
2000-04-24,2000-04-26,sell,279.59700000000004,275.581,283.362,275.581,26.560424966799566,106.66666666666758,1.0666666666666758,10106.666666666668,take_profit
2000-04-26,2000-04-28,sell,278.047,275.00300000000004,280.90075,275.00300000000004,35.41538910789908,107.80444444444419,1.066666666666664,10214.471111111112,take_profit
2000-05-15,2000-05-17,sell,275.747,272.507,278.78450000000004,272.507,33.62788843164127,108.954358518518,1.0666666666666615,10323.42546962963,take_profit
2000-05-17,2000-05-25,sell,274.997,271.853,277.9445,271.853,35.02434425658919,110.1165383427166,1.0666666666666718,10433.542007972346,take_profit
2000-06-05,2000-06-06,buy,281.953,285.241,278.8705,285.241,33.847662637380076,111.29111475170606,1.0666666666666764,10544.833122724052,take_profit
2000-06-06,2000-06-13,buy,286.053,289.725,282.6105,289.725,30.631323522800486,112.47821997572416,1.0666666666666755,10657.311342699777,take_profit
2000-06-23,2000-06-28,sell,284.947,289.99225,289.99225,279.5654,21.123455413903685,-106.57311342699778,-1.0,10550.73822927278,stop_loss
2000-07-07,2000-07-19,sell,282.34700000000004,278.619,285.84200000000004,278.619,30.18809221537272,112.54120777890977,1.0666666666666678,10663.27943705169,take_profit
2000-08-18,2000-08-21,buy,278.753,276.263,276.263,281.409,42.82441540984598,-106.63279437051689,-1.0,10556.646642681173,stop_loss
2000-08-21,2000-08-22,buy,277.65299999999996,275.1405,275.1405,280.33299999999997,42.01650405047252,-105.56646642681173,-1.0,10451.080176254362,stop_loss
2000-08-25,2000-08-28,sell,270.497,272.91725,272.91725,267.91540000000003,43.18182078815956,-104.51080176254361,-0.9999999999999999,10346.569374491817,stop_loss
2000-09-01,2000-09-05,buy,278.753,276.25775,276.25775,281.4146,41.46506111408405,-103.46569374491817,-1.0,10243.103680746899,stop_loss
2000-09-05,2000-09-06,buy,277.853,275.44175,275.44175,280.425,42.480471459810964,-102.431036807469,-1.0,10140.67264393943,stop_loss
2000-09-12,2000-09-20,sell,272.197,269.645,274.5895,269.645,42.38525660998745,108.16717486868886,1.0666666666666826,10248.83981880812,take_profit
2000-10-06,2000-10-10,sell,268.84700000000004,271.97450000000003,271.97450000000003,265.511,32.77007136309553,-102.4883981880812,-1.0000000000000002,10146.351420620038,stop_loss
2000-10-10,2000-10-11,sell,269.547,272.57325000000003,272.57325000000003,266.319,33.527803124725395,-101.46351420620037,-0.9999999999999999,10044.887906413838,stop_loss
2000-10-23,2000-10-25,sell,270.147,266.255,273.79575,266.255,27.529668808259867,107.1454710017473,1.0666666666666635,10152.033377415586,take_profit
2000-10-25,2000-10-26,sell,269.84700000000004,265.96700000000004,273.4845,265.96700000000004,27.909370109733658,108.28835602576646,1.0666666666666687,10260.321733441353,take_profit
2000-10-26,2000-11-27,sell,266.147,269.85949999999997,269.85949999999997,262.187,27.637230258428055,-102.60321733441353,-1.0,10157.71851610694,stop_loss
2000-12-15,2000-12-20,sell,268.397,271.62275,271.62275,264.95619999999997,31.489478465804616,-101.5771851610694,-1.0,10056.14133094587,stop_loss
2000-12-22,2000-12-28,buy,275.08299999999997,272.4865,272.4865,277.8526,38.729602661066444,-100.5614133094587,-1.0,9955.57991763641,stop_loss
2001-01-08,2001-01-11,sell,266.747,263.9486,269.3705,263.9486,37.9477031356451,106.19285245478981,1.066666666666681,10061.7727700912,take_profit
2001-02-07,2001-02-15,sell,262.147,258.8806,265.20925,258.8806,32.85745046972383,107.32557621430513,1.0666666666666567,10169.098346305505,take_profit
2001-02-27,2001-03-02,buy,266.853,263.3505,263.3505,270.589,29.03382825497648,-101.69098346305506,-1.0,10067.40736284245,stop_loss
2001-03-02,2001-03-05,buy,268.053,264.5655,264.5655,271.773,28.867117886286504,-100.67407362842451,-1.0,9966.733289214026,stop_loss
2001-03-20,2001-03-21,sell,258.747,263.12925,263.12925,254.07260000000002,22.743415572397808,-99.66733289214028,-1.0000000000000002,9867.065956321885,stop_loss
2001-03-21,2001-04-02,sell,260.84700000000004,256.24460000000005,265.16175000000004,256.24460000000005,22.868221696093347,105.24870353409976,1.066666666666663,9972.314659855985,take_profit
2001-04-16,2001-04-17,buy,260.253,263.205,257.4855,263.205,36.033657307519576,106.37135637179772,1.0666666666666722,10078.686016227783,take_profit
2001-04-17,2001-04-18,buy,264.15299999999996,261.17549999999994,261.17549999999994,267.32899999999995,33.84949123838023,-100.78686016227783,-1.0,9977.899156065505,stop_loss
2001-04-18,2001-04-27,buy,263.733,267.0194,260.652,267.0194,32.385261785347126,106.43092433136526,1.0666666666666653,10084.33008039687,take_profit
2001-05-29,2001-05-30,sell,276.627,270.2502,282.60525,270.2502,16.868364622417708,107.56618752423329,1.0666666666666667,10191.896267921104,take_profit
2001-05-30,2001-05-31,sell,273.147,266.7942,279.10275,266.7942,17.11269994194025,108.71356019115805,1.0666666666666629,10300.609828112261,take_profit
2001-05-31,2001-06-08,sell,264.947,271.469,271.469,257.9902,15.793636657639183,-103.00609828112262,-1.0,10197.603729831138,stop_loss
2001-06-15,2001-06-18,buy,277.15299999999996,272.4955,272.4955,282.121,21.89501605975567,-101.97603729831138,-1.0,10095.627692532827,stop_loss
2001-06-19,2001-06-28,buy,274.253,269.423,269.423,279.405,20.901920688473833,-100.95627692532828,-1.0,9994.6714156075,stop_loss
2001-07-04,2001-08-09,sell,267.647,271.8695,271.8695,263.143,23.670032955849475,-99.946714156075,-1.0,9894.724701451425,stop_loss
2001-08-10,2001-08-13,buy,274.15299999999996,277.01059999999995,271.474,277.01059999999995,36.934396048717886,105.5437301488159,1.0666666666666738,10000.268431600241,take_profit
2001-08-13,2001-08-14,buy,277.053,274.13775,274.13775,280.1626,34.30329622365215,-100.00268431600242,-1.0,9900.265747284238,stop_loss
2001-08-14,2001-08-17,buy,277.65299999999996,280.91459999999995,274.59524999999996,280.91459999999995,32.37761670275282,105.60283463769818,1.0666666666666629,10005.868581921937,take_profit
2001-08-29,2001-08-30,sell,270.547,274.34200000000004,274.34200000000004,266.499,26.365925117053745,-100.05868581921938,-1.0,9905.809896102717,stop_loss
2001-09-12,2001-09-13,buy,291.003,287.15925,287.15925,295.103,25.771212737828208,-99.05809896102717,-1.0,9806.75179714169,stop_loss
2001-09-14,2001-09-17,buy,281.503,286.399,276.913,286.399,21.365472324927545,104.60535250284558,1.0666666666666758,9911.357149644535,take_profit
2001-10-09,2001-10-10,buy,293.953,289.71324999999996,289.71324999999996,298.4754,23.377220707929713,-99.11357149644535,-1.0,9812.243578148089,stop_loss
2001-10-11,2001-10-18,sell,283.84700000000004,279.30060000000003,288.10925000000003,279.30060000000003,23.021276504541266,104.66393150024653,1.0666666666666693,9916.907509648336,take_profit
2001-11-05,2001-11-08,buy,280.753,277.97499999999997,277.97499999999997,283.7162,35.69801119383824,-99.16907509648335,-1.0,9817.738434551853,stop_loss
2001-11-08,2001-11-09,buy,281.353,278.845,278.845,284.0282,39.14568753808583,-98.17738434551853,-1.0,9719.561050206334,stop_loss
2001-12-04,2001-12-05,buy,278.253,275.9805,275.9805,280.67699999999996,42.770345655473804,-97.19561050206335,-1.0,9622.36543970427,stop_loss
2001-12-11,2001-12-12,sell,271.647,273.7695,273.7695,269.383,45.335055075167304,-96.22365439704271,-1.0,9526.141785307227,stop_loss
2001-12-12,2001-12-13,sell,271.84700000000004,273.93950000000007,273.93950000000007,269.615,45.52516982225612,-95.26141785307227,-1.0,9430.880367454154,stop_loss
2001-12-18,2001-12-19,buy,279.053,276.53675,276.53675,281.737,37.47990210612659,-94.30880367454154,-1.0,9336.571563779613,stop_loss
2001-12-19,2001-12-20,buy,281.253,278.64675,278.64675,284.033,35.82377578428644,-93.36571563779613,-1.0,9243.205848141817,stop_loss
2002-01-07,2002-01-09,buy,279.65299999999996,282.34899999999993,277.1255,282.34899999999993,36.57054737148134,98.59419571351258,1.066666666666665,9341.80004385533,take_profit
2002-01-09,2002-01-10,buy,279.353,281.705,277.148,281.705,42.366440108187746,99.64586713445654,1.0666666666666633,9441.445910989787,take_profit
2002-01-10,2002-01-11,buy,284.753,287.485,282.19174999999996,287.485,36.86264874959367,100.70875638389091,1.066666666666665,9542.154667373678,take_profit
2002-01-25,2002-01-29,sell,277.747,281.392,281.392,273.859,26.1787508021227,-95.42154667373677,-1.0,9446.73312069994,stop_loss
2002-01-29,2002-01-30,sell,278.247,281.82075000000003,281.82075000000003,274.435,26.43367085190596,-94.4673312069994,-1.0,9352.265789492942,stop_loss
2002-02-06,2002-02-08,buy,299.053,303.113,295.24675,303.113,24.570813240047286,99.75750175459204,1.0666666666666738,9452.023291247533,take_profit
2002-02-08,2002-02-13,buy,301.753,297.28675,297.28675,306.517,21.16322035543807,-94.52023291247534,-1.0,9357.503058335058,stop_loss
2002-02-21,2002-02-26,sell,290.647,296.467,296.467,284.439,16.078183949029327,-93.57503058335057,-0.9999999999999999,9263.928027751708,stop_loss
2002-02-26,2002-02-27,sell,290.84700000000004,295.91475,295.91475,285.44140000000004,18.280159889007404,-92.63928027751707,-0.9999999999999999,9171.288747474191,stop_loss
2002-03-12,2002-03-13,sell,289.247,293.0735,293.0735,285.16540000000003,23.967826336009846,-91.71288747474192,-1.0,9079.57585999945,stop_loss
2002-03-25,2002-03-27,buy,297.883,301.3334,294.64824999999996,301.3334,28.06886423989302,96.84880917332693,1.0666666666666607,9176.424669172777,take_profit
2002-03-27,2002-03-28,buy,298.353,301.5394,295.36575,301.5394,30.718636435426305,97.88186313784213,1.0666666666666578,9274.306532310618,take_profit
2002-03-28,2002-04-04,buy,303.553,300.352,300.352,306.9674,28.973153802907074,-92.74306532310618,-1.0,9181.563466987513,stop_loss
2002-04-23,2002-04-25,buy,304.453,308.35699999999997,300.79299999999995,308.35699999999997,25.086238980840026,97.93667698119937,1.0666666666666582,9279.500143968711,take_profit
2002-04-25,2002-04-26,buy,305.553,309.093,302.23425,309.093,27.96082905903924,98.98133486899948,1.0666666666666655,9378.48147883771,take_profit
2002-04-26,2002-05-03,buy,309.15299999999996,312.77299999999997,305.75924999999995,312.77299999999997,27.63456789344436,100.0371357742687,1.0666666666666647,9478.518614611978,take_profit
2002-05-16,2002-05-17,sell,306.447,310.41075,310.41075,302.219,23.913008173098625,-94.78518614611978,-1.0,9383.733428465857,stop_loss
2002-05-23,2002-05-28,buy,319.753,323.67699999999996,316.07425,323.67699999999996,25.50794000262565,100.09315657030248,1.0666666666666669,9483.82658503616,take_profit
2002-06-12,2002-06-14,sell,315.947,321.083,321.083,310.4686,18.465394441269698,-94.83826585036161,-1.0,9388.988319185799,stop_loss
2002-06-14,2002-06-17,sell,316.947,321.75675,321.75675,311.8166,19.520740826832544,-93.88988319185799,-1.0,9295.098435993941,stop_loss
2002-06-25,2002-06-26,buy,329.303,324.36424999999997,324.36424999999997,334.571,18.820751072627466,-92.95098435993941,-1.0,9202.147451634002,stop_loss
2002-06-27,2002-06-28,buy,328.853,323.618,323.618,334.437,17.578123116779327,-92.02147451634002,-1.0,9110.125977117663,stop_loss
2002-07-02,2002-07-09,sell,309.497,315.677,315.677,302.90500000000003,14.74130417009329,-91.10125977117663,-1.0,9019.024717346487,stop_loss
2002-07-19,2002-07-22,buy,318.65299999999996,324.02899999999994,313.61299999999994,324.02899999999994,17.894890312195336,96.20293031836171,1.0666666666666575,9115.227647664848,take_profit
2002-07-22,2002-07-23,buy,325.003,320.08675,320.08675,330.247,18.54101733570275,-91.15227647664848,-1.0,9024.075371188199,stop_loss
2002-07-23,2002-07-24,buy,324.90299999999996,320.17049999999995,320.17049999999995,329.95099999999996,19.06830506326079,-90.240753711882,-1.0,8933.834617476317,stop_loss
2002-08-12,2002-08-14,buy,313.65299999999996,320.36499999999995,307.36049999999994,320.36499999999995,14.19759176396709,95.29423591974695,1.0666666666666618,9029.128853396065,take_profit
2002-08-14,2002-08-15,buy,317.303,311.843,311.843,323.127,16.53686603186099,-90.29128853396065,-1.0,8938.837564862104,stop_loss
2002-08-15,2002-08-16,buy,320.703,314.9805,314.9805,326.80699999999996,15.620511253581745,-89.38837564862104,-1.0,8849.449189213483,stop_loss
2002-08-22,2002-08-27,sell,304.797,310.34700000000004,310.34700000000004,298.877,15.944953494078316,-88.49449189213483,-1.0,8760.954697321347,stop_loss
2002-08-27,2002-08-28,sell,303.297,308.64825,308.64825,297.589,16.371791071845564,-87.60954697321347,-1.0,8673.345150348134,stop_loss
2002-09-06,2002-09-09,buy,318.753,323.193,314.59049999999996,323.193,20.83686522606147,92.51568160371288,1.0666666666666604,8765.860831951846,take_profit
2002-09-09,2002-09-11,buy,320.65299999999996,316.49049999999994,316.49049999999994,325.09299999999996,21.059125121806122,-87.65860831951846,-1.0,8678.202223632328,stop_loss
2002-09-20,2002-09-24,buy,323.053,327.625,318.76675,327.625,20.24660769584681,92.56749038541166,1.0666666666666687,8770.76971401774,take_profit
2002-09-24,2002-09-26,buy,324.40299999999996,319.93674999999996,319.93674999999996,329.167,19.637883490663835,-87.7076971401774,-1.0,8683.062016877564,stop_loss
2002-10-07,2002-10-08,sell,317.047,321.5095,321.5095,312.28700000000003,19.457842054627694,-86.83062016877564,-1.0,8596.231396708788,stop_loss
2002-10-09,2002-10-16,sell,318.397,314.013,322.507,314.013,20.915404858172163,91.69313489822707,1.0666666666666667,8687.924531607016,take_profit
2002-11-01,2002-11-04,buy,317.15299999999996,320.64899999999994,313.8755,320.64899999999994,26.50777889124968,92.67119500380836,1.0666666666666689,8780.595726610823,take_profit
2002-11-04,2002-11-05,buy,322.65299999999996,319.0155,319.0155,326.53299999999996,24.13909478106076,-87.80595726610824,-1.0,8692.789769344716,stop_loss
2002-11-21,2002-11-22,sell,318.747,314.403,322.8195,314.403,21.345094584026363,92.72309087301039,1.0666666666666678,8785.512860217726,take_profit
2002-11-22,2002-12-04,sell,317.997,321.70575,321.70575,314.041,23.688608992835064,-87.85512860217726,-1.0,8697.657731615549,stop_loss
2002-12-04,2002-12-06,buy,320.203,323.74699999999996,316.8805,323.74699999999996,26.178051863402775,92.77501580389898,1.0666666666666642,8790.432747419449,take_profit
2002-12-06,2002-12-09,buy,322.65299999999996,325.969,319.54425,325.969,28.276422187115358,93.7646159724754,1.0666666666666813,8884.197363391924,take_profit
2002-12-09,2002-12-10,buy,328.65299999999996,325.22925,325.22925,332.30499999999995,25.948732715274087,-88.84197363391924,-1.0,8795.355389758004,stop_loss
2003-02-13,2003-02-17,sell,355.797,347.67300000000006,363.41325,347.67300000000006,11.54814428328643,93.81712415741858,1.066666666666665,8889.172513915422,take_profit
2003-02-17,2003-02-19,sell,351.047,342.45900000000006,359.09825,342.45900000000006,11.040735927856472,94.817840148431,1.0666666666666647,8983.990354063853,take_profit
2003-04-23,2003-04-24,buy,336.90299999999996,331.31924999999995,331.31924999999995,342.859,16.089528281287375,-89.83990354063853,-1.0,8894.150450523215,stop_loss
2003-04-24,2003-04-28,buy,337.003,331.28425,331.28425,343.103,15.552612809658081,-88.94150450523215,-1.0,8805.208946017983,stop_loss
2003-04-28,2003-04-29,buy,334.303,329.30424999999997,329.30424999999997,339.635,17.61482159743522,-88.05208946017983,-1.0,8717.156856557804,stop_loss
2003-06-10,2003-06-11,sell,361.947,353.731,369.6495,353.731,11.317308479789444,92.98300646995017,1.0666666666666698,8810.139863027754,take_profit
2003-06-25,2003-07-11,sell,347.84700000000004,341.067,354.20325,341.067,13.86059368814595,93.97482520562995,1.0666666666666733,8904.114688233385,take_profit
2003-07-25,2003-07-28,buy,358.90299999999996,364.68299999999994,353.48425,364.68299999999994,16.432045560753686,94.97722334115585,1.0666666666666638,8999.09191157454,take_profit
2003-07-28,2003-07-30,buy,364.703,358.883,358.883,370.91099999999994,15.462357236382388,-89.9909191157454,-1.0,8909.100992458794,stop_loss
2003-07-30,2003-07-31,buy,366.003,360.123,360.123,372.275,15.151532300100003,-89.09100992458795,-1.0,8820.009982534206,stop_loss
2003-08-07,2003-08-11,sell,349.197,355.40325,355.40325,342.577,14.211496447184999,-88.20009982534206,-1.0,8731.809882708863,stop_loss
2003-08-13,2003-08-15,buy,362.603,368.983,356.62175,368.983,14.598637212470436,93.13930541556131,1.0666666666666678,8824.949188124425,take_profit
2003-08-15,2003-08-19,buy,364.703,358.77049999999997,358.77049999999997,371.031,14.875599137167162,-88.24949188124425,-1.0,8736.69969624318,stop_loss
2003-10-24,2003-10-29,buy,386.103,379.6455,379.6455,392.991,13.529538824999156,-87.3669969624318,-1.0,8649.332699280749,stop_loss
2003-10-29,2003-10-30,buy,389.40299999999996,383.4405,383.4405,395.763,14.50621836357364,-86.4933269928075,-1.0,8562.839372287941,stop_loss
2003-11-07,2003-11-11,sell,379.247,386.582,386.582,371.423,11.673945974489387,-85.62839372287941,-1.0,8477.210978565061,stop_loss
2003-11-17,2003-11-18,buy,396.753,388.76175,388.76175,405.277,10.608116350464675,-84.77210978565061,-1.0,8392.43886877941,stop_loss
2003-11-18,2003-11-19,buy,404.503,395.84799999999996,395.84799999999996,413.735,9.696636474615115,-83.9243886877941,-1.0,8308.514480091617,stop_loss
2003-12-05,2003-12-10,buy,403.503,411.459,396.04425,411.459,11.139285376358782,88.62415445431066,1.0666666666666675,8397.138634545927,take_profit
