bar,equity
0,10000.0
1,10000.0
2,10000.0
3,10000.0
4,10000.0
5,10000.0
6,10000.0
7,10000.0
8,10000.0
9,10000.0
10,10000.0
11,10000.0
12,10000.0
13,10000.0
14,10000.0
15,10000.0
16,10000.0
17,10000.0
18,10000.0
19,10000.0
20,10000.0
21,10000.0
22,10000.0
23,10000.0
24,9900.0
25,9900.0
26,9801.0
27,9801.0
28,9801.0
29,9702.99
30,9702.99
31,9702.99
32,9702.99
33,9605.9601
34,9605.9601
35,9711.625661099999
36,9711.625661099999
37,9711.625661099999
38,9711.625661099999
39,9711.625661099999
40,9711.625661099999
41,9818.4535433721
42,9818.4535433721
43,9818.4535433721
44,9818.4535433721
45,9818.4535433721
46,9818.4535433721
47,9818.4535433721
48,9818.4535433721
49,9926.456532349192
50,9926.456532349192
51,10035.647554205032
52,10035.647554205032
53,10035.647554205032
54,10035.647554205032
55,10035.647554205032
56,10035.647554205032
57,10035.647554205032
58,9935.291078662982
59,10044.579280528274
60,10044.579280528274
61,10044.579280528274
62,10044.579280528274
63,10044.579280528274
64,10044.579280528274
65,10044.579280528274
66,9944.133487722991
67,9944.133487722991
68,9844.69215284576
69,9844.69215284576
70,9844.69215284576
71,9844.69215284576
72,9844.69215284576
73,9844.69215284576
74,9844.69215284576
75,9746.245231317303
76,9746.245231317303
77,9746.245231317303
78,9746.245231317303
79,9648.78277900413
80,9648.78277900413
81,9648.78277900413
82,9648.78277900413
83,9648.78277900413
84,9648.78277900413
85,9648.78277900413
86,9648.78277900413
87,9754.919389573177
88,9862.223502858482
89,9763.601267829898
90,9763.601267829898
91,9763.601267829898
92,9763.601267829898
93,9871.000881776026
94,9871.000881776026
95,9871.000881776026
96,9871.000881776026
97,9871.000881776026
98,9979.581891475562
99,10089.357292281793
100,10089.357292281793
101,10200.340222496892
102,10200.340222496892
103,10200.340222496892
104,10200.340222496892
105,10200.340222496892
106,10200.340222496892
107,10200.340222496892
108,10200.340222496892
109,10312.543964944358
110,10312.543964944358
111,10312.543964944358
112,10312.543964944358
113,10312.543964944358
114,10312.543964944358
115,10312.543964944358
116,10312.543964944358
117,10312.543964944358
118,10312.543964944358
119,10312.543964944358
120,10312.543964944358
121,10312.543964944358
122,10312.543964944358
123,10312.543964944358
124,10312.543964944358
125,10312.543964944358
126,10312.543964944358
127,10312.543964944358
128,10209.418525294914
129,10209.418525294914
130,10209.418525294914
131,10209.418525294914
132,10209.418525294914
133,10209.418525294914
134,10321.722129073156
135,10321.722129073156
136,10321.722129073156
137,10435.26107249296
138,10435.26107249296
139,10435.26107249296
140,10435.26107249296
141,10330.908461768031
142,10330.908461768031
143,10330.908461768031
144,10444.548454847481
145,10444.548454847481
146,10559.438487850803
147,10559.438487850803
148,10559.438487850803
149,10559.438487850803
150,10559.438487850803
151,10675.592311217162
152,10675.592311217162
153,10675.592311217162
154,10675.592311217162
155,10675.592311217162
156,10675.592311217162
157,10568.83638810499
158,10568.83638810499
159,10463.14802422394
160,10463.14802422394
161,10463.14802422394
162,10358.5165439817
163,10358.5165439817
164,10472.460225965498
165,10472.460225965498
166,10587.657288451119
167,10481.780715566607
168,10481.780715566607
169,10597.080303437842
170,10713.64818677566
171,10831.498316830191
172,10831.498316830191
173,10831.498316830191
174,10831.498316830191
175,10950.644798315323
176,10950.644798315323
177,11071.101891096792
178,11192.88401189886
179,11192.88401189886
180,11316.005736029749
181,11316.005736029749
182,11316.005736029749
183,11316.005736029749
184,11316.005736029749
185,11316.005736029749
186,11316.005736029749
187,11316.005736029749
188,11440.481799126077
189,11326.076981134816
190,11326.076981134816
191,11326.076981134816
192,11326.076981134816
193,11326.076981134816
194,11326.076981134816
195,11326.076981134816
196,11326.076981134816
197,11326.076981134816
198,11326.076981134816
199,11326.076981134816
200,11326.076981134816
201,11326.076981134816
202,11326.076981134816
203,11326.076981134816
204,11326.076981134816
205,11326.076981134816
206,11326.076981134816
207,11212.816211323468
208,11212.816211323468
209,11212.816211323468
210,11212.816211323468
211,11212.816211323468
212,11212.816211323468
213,11212.816211323468
214,11212.816211323468
215,11100.688049210234
216,11100.688049210234
217,11100.688049210234
218,10989.68116871813
219,10989.68116871813
220,11110.56766157403
221,11232.783905851345
222,11232.783905851345
223,11232.783905851345
224,11232.783905851345
225,11232.783905851345
