bar,equity
0,10000.0
1,10000.0
2,10000.0
3,10000.0
4,10000.0
5,10000.0
6,10000.0
7,10000.0
8,10000.0
9,10000.0
10,10000.0
11,10000.0
12,10000.0
13,10000.0
14,10000.0
15,10000.0
16,10000.0
17,10000.0
18,10000.0
19,10000.0
20,10000.0
21,10000.0
22,10000.0
23,10000.0
24,10000.0
25,10000.0
26,10000.0
27,10000.0
28,10000.0
29,10000.0
30,10000.0
31,10000.0
32,10000.0
33,10000.0
34,10000.0
35,10000.0
36,10133.333333333334
37,10133.333333333334
38,10032.0
39,10165.76
40,10165.76
41,10165.76
42,10165.76
43,10165.76
44,10165.76
45,10165.76
46,10165.76
47,10165.76
48,10165.76
49,10165.76
50,10165.76
51,10165.76
52,10165.76
53,10165.76
54,10165.76
55,10165.76
56,10165.76
57,10165.76
58,10165.76
59,10165.76
60,10165.76
61,10165.76
62,10165.76
63,10165.76
64,10165.76
65,10165.76
66,10165.76
67,10165.76
68,10165.76
69,10165.76
70,10165.76
71,10165.76
72,10165.76
73,10165.76
74,10165.76
75,10165.76
76,10301.303466666666
77,10301.303466666666
78,10301.303466666666
79,10301.303466666666
80,10301.303466666666
81,10438.654179555555
82,10334.26763776
83,10334.26763776
84,10334.26763776
85,10334.26763776
86,10334.26763776
87,10472.057872930134
88,10472.057872930134
89,10472.057872930134
90,10472.057872930134
91,10472.057872930134
92,10472.057872930134
93,10472.057872930134
94,10367.337294200834
95,10263.663921258825
96,10263.663921258825
97,10263.663921258825
98,10263.663921258825
99,10263.663921258825
100,10263.663921258825
101,10263.663921258825
102,10263.663921258825
103,10263.663921258825
104,10161.027282046238
105,10161.027282046238
106,10161.027282046238
107,10161.027282046238
108,10161.027282046238
109,10161.027282046238
110,10161.027282046238
111,10161.027282046238
112,10161.027282046238
113,10296.507645806854
114,10296.507645806854
115,10296.507645806854
116,10296.507645806854
117,10296.507645806854
118,10296.507645806854
119,10296.507645806854
120,10296.507645806854
121,10296.507645806854
122,10193.542569348785
123,10193.542569348785
124,10193.542569348785
125,10193.542569348785
126,10193.542569348785
127,10193.542569348785
128,10193.542569348785
129,10193.542569348785
130,10193.542569348785
131,10193.542569348785
132,10193.542569348785
133,10193.542569348785
134,10193.542569348785
135,10193.542569348785
136,10193.542569348785
137,10193.542569348785
138,10193.542569348785
139,10193.542569348785
140,10193.542569348785
141,10329.456470273435
142,10329.456470273435
143,10329.456470273435
144,10329.456470273435
145,10329.456470273435
146,10329.456470273435
147,10226.161905570701
148,10226.161905570701
149,10226.161905570701
150,10226.161905570701
151,10226.161905570701
152,10226.161905570701
153,10362.51073097831
154,10362.51073097831
155,10362.51073097831
156,10362.51073097831
157,10362.51073097831
158,10362.51073097831
159,10362.51073097831
160,10362.51073097831
161,10362.51073097831
162,10362.51073097831
163,10362.51073097831
164,10362.51073097831
165,10362.51073097831
166,10362.51073097831
167,10362.51073097831
168,10362.51073097831
169,10362.51073097831
170,10362.51073097831
171,10362.51073097831
172,10500.677540724688
173,10500.677540724688
174,10500.677540724688
175,10395.670765317442
176,10395.670765317442
177,10395.670765317442
178,10395.670765317442
179,10395.670765317442
180,10534.279708855009
181,10534.279708855009
182,10534.279708855009
183,10534.279708855009
184,10534.279708855009
185,10534.279708855009
186,10534.279708855009
187,10534.279708855009
188,10534.279708855009
189,10428.93691176646
190,10428.93691176646
191,10428.93691176646
192,10428.93691176646
193,10428.93691176646
194,10428.93691176646
195,10428.93691176646
196,10428.93691176646
197,10428.93691176646
198,10428.93691176646
199,10428.93691176646
200,10428.93691176646
201,10428.93691176646
202,10428.93691176646
203,10428.93691176646
204,10428.93691176646
205,10428.93691176646
206,10428.93691176646
207,10324.647542648794
208,10221.401067222307
209,10119.187056550083
210,10119.187056550083
211,10119.187056550083
212,10017.995185984582
213,9917.815234124737
214,9818.63708178349
215,9818.63708178349
216,9818.63708178349
217,9949.552242873937
218,9949.552242873937
219,9949.552242873937
220,9949.552242873937
221,9949.552242873937
222,9949.552242873937
223,9949.552242873937
224,9949.552242873937
225,9949.552242873937
226,9949.552242873937
227,9949.552242873937
228,9949.552242873937
229,9949.552242873937
230,9949.552242873937
231,9949.552242873937
232,9949.552242873937
233,9949.552242873937
234,9949.552242873937
235,9949.552242873937
236,9949.552242873937
237,9949.552242873937
238,9949.552242873937
