Date,Open,High,Low,Close
2000-01-04,52.7191,53.661,52.687,53.6499
2000-01-05,53.4187,53.9818,53.1497,53.9311
2000-01-06,53.6615,54.2845,53.483,54.1701
2000-01-07,54.511,54.8284,54.2938,54.5512
2000-01-10,54.3151,54.4467,53.8902,54.3037
2000-01-11,54.2113,54.8798,54.2113,54.7518
2000-01-12,54.8845,55.0244,54.6528,54.8554
2000-01-13,55.4414,55.6299,55.196,55.5355
2000-01-14,55.2386,55.4089,54.8893,55.0983
2000-01-17,54.7291,54.7639,54.1052,54.2129
2000-01-18,54.247,54.6886,54.1845,54.6539
2000-01-19,54.4445,54.6525,54.1412,54.2381
2000-01-20,53.953,54.1754,53.8906,53.9814
2000-01-21,53.8258,53.8883,53.3145,53.4596
2000-01-24,53.2084,53.5351,52.919,53.4389
2000-01-25,53.5099,53.7539,53.4591,53.7141
2000-01-26,53.6887,53.8428,53.4339,53.5299
2000-01-27,53.5389,53.675,53.0347,53.2912
2000-01-28,50.9983,52.054,50.7264,51.9648
2000-01-31,52.9235,53.2308,52.76,53.1565
2000-02-01,52.7276,53.0065,52.5864,52.9265
2000-02-02,52.9227,53.4881,52.8429,53.0486
2000-02-03,53.5683,53.8771,53.0634,53.286
2000-02-04,53.0044,53.2735,52.8057,52.8396
2000-02-07,53.02,53.7758,52.9518,53.7057
2000-02-08,53.6005,54.1296,53.5714,54.0348
2000-02-09,53.8259,53.9085,53.3528,53.4572
2000-02-10,53.7272,53.9444,53.4596,53.9091
2000-02-11,53.6353,53.9238,53.4021,53.4312
2000-02-14,53.0643,53.0643,52.5372,52.9834
2000-02-15,53.0436,53.2524,52.8193,53.171
2000-02-16,53.4876,53.728,53.3362,53.5811
2000-02-17,53.8368,54.4146,53.7427,54.4026
2000-02-18,54.2269,54.595,54.1014,54.4254
2000-02-21,54.3034,54.5576,54.0278,54.4726
2000-02-22,54.511,54.7486,54.1616,54.2996
2000-02-23,53.8009,54.0465,53.4397,53.9804
2000-02-24,54.0624,54.2312,53.7636,54.1226
2000-02-25,54.2125,54.2911,53.604,53.7282
2000-02-28,53.3715,53.4775,52.4867,53.0326
2000-02-29,53.2727,53.7315,53.2203,53.6308
2000-03-01,53.5257,53.5907,51.7579,52.0462
2000-03-02,52.214,52.569,51.8968,52.4671
2000-03-03,52.5476,52.6838,52.3334,52.5476
2000-03-06,51.9089,51.9425,51.3496,51.6859
2000-03-07,51.9793,52.2604,51.089,51.2515
2000-03-08,51.7885,52.4229,51.7171,52.3104
2000-03-09,52.8983,52.9493,52.3986,52.6276
2000-03-10,52.7555,52.8062,52.4758,52.5706
2000-03-13,52.429,52.5743,51.6656,52.0857
2000-03-14,51.7303,51.9,51.2598,51.5779
2000-03-15,51.3465,51.8372,51.0938,51.5634
2000-03-16,51.5478,51.6187,51.2661,51.4716
2000-03-17,51.0595,51.7138,51.0057,51.6752
2000-03-20,51.6942,51.7939,51.3702,51.4577
2000-03-21,52.117,52.5024,52.0505,52.3453
2000-03-22,51.9961,52.1911,51.8577,52.1297
2000-03-23,52.281,52.6134,52.2027,52.3932
2000-03-24,52.4233,52.6321,52.1493,52.2329
2000-03-27,52.8104,52.9518,52.6584,52.7259
2000-03-28,53.5973,53.6145,53.048,53.1154
2000-03-29,52.9884,53.2475,52.5768,52.938
2000-03-30,52.6805,52.781,52.2003,52.4863
2000-03-31,52.2981,52.6142,50.5966,50.9761
2000-04-03,51.5132,52.661,51.2591,52.291
2000-04-04,52.5073,52.9405,52.1137,52.6509
2000-04-05,52.9399,53.1075,52.7015,52.7955
2000-04-06,52.5741,52.7123,52.4093,52.5081
2000-04-07,52.3515,52.7159,52.3131,52.6604
2000-04-10,52.5616,53.2578,52.4786,53.0538
2000-04-11,53.0075,53.3254,52.9286,53.2171
2000-04-12,53.1159,53.1443,52.2832,52.543
2000-04-13,52.6343,52.7795,52.5232,52.6566
2000-04-14,52.651,52.8075,52.0996,52.1106
2000-04-17,51.5322,52.1079,51.0111,51.6668
2000-04-18,51.7133,51.9031,51.4874,51.8161
2000-04-19,52.1557,52.3474,51.922,52.2103
2000-04-20,51.7617,52.2217,51.5616,52.1555
2000-04-21,52.1454,52.2392,52.0025,52.1674
2000-04-24,52.2953,52.4061,51.9327,52.2897
2000-04-25,52.3034,52.6427,52.0614,52.6203
2000-04-26,51.679,51.9218,51.3028,51.668
2000-04-27,51.6995,51.8869,51.4917,51.771
2000-04-28,51.5954,52.517,51.5679,52.4659
2000-05-01,52.2484,52.818,52.1584,52.6744
2000-05-02,52.7076,52.8053,52.451,52.542
2000-05-03,53.0317,53.5194,52.9456,53.2744
2000-05-04,53.5289,53.7871,52.8031,52.9684
2000-05-05,52.8821,53.2384,52.5249,53.1633
2000-05-08,52.6527,52.8827,52.4361,52.7732
